credit_score,income,loan_amount,loan_term,interest_rate,debt_to_income_ratio,employment_years,savings_balance,age,default_risk_score
810,107410.0,11924.0,48,7.97,43.29,32,27181.0,58,7634.543365888612
418,37482.0,19291.0,24,6.94,11.01,33,15089.0,43,6249.833058945462
724,85641.0,39501.0,36,8.59,37.11,0,97459.0,33,2148.117990369962
444,73331.0,25714.0,36,13.09,33.39,18,2413.0,48,4979.385344103728
440,46723.0,35651.0,36,8.3,46.21,6,9716.0,42,2993.851949532455
634,149410.0,7520.0,36,8.56,35.98,12,57089.0,66,8572.770742060935
422,86150.0,36910.0,12,11.73,46.69,30,60119.0,27,2758.649580980852
679,99671.0,7307.0,12,3.38,42.58,3,2739.0,34,8624.958225460367
526,141041.0,33270.0,48,12.56,17.24,8,10619.0,36,3463.5192297438152
582,106652.0,22921.0,48,14.14,43.1,3,20661.0,47,5514.51101434091
551,58890.0,36010.0,36,11.66,45.44,26,13362.0,37,2924.5604276640856
771,39541.0,26675.0,60,7.49,29.14,5,16939.0,59,4728.648156118942
307,70108.0,44951.0,36,4.6,34.04,4,27785.0,64,1187.6216491627997
553,68364.0,5097.0,48,10.71,19.65,12,13703.0,54,9088.10774501608
773,66167.0,41727.0,24,12.82,43.84,15,76508.0,55,1693.2217510102532
546,53660.0,44905.0,48,13.19,18.35,3,38170.0,35,1116.9318500957345
302,131925.0,8390.0,12,3.59,22.68,6,86130.0,30,8485.307983736595
471,139076.0,34328.0,12,9.42,44.0,22,28840.0,45,3255.7185842478725
670,105112.0,18937.0,60,7.54,46.71,28,86338.0,41,6266.136622263704
745,145150.0,40525.0,24,13.88,38.82,11,32959.0,40,1925.5344355977236
563,101412.0,34619.0,36,11.15,49.91,0,20823.0,33,3205.291107105235
524,76446.0,18493.0,36,9.57,25.72,7,92091.0,42,6400.51215462465
825,52556.0,18230.0,36,10.04,28.6,29,26442.0,60,6381.425418327071
808,114613.0,45957.0,36,10.91,32.88,1,9493.0,38,842.035721616383
617,26276.0,11971.0,36,9.53,15.65,8,17221.0,34,7675.441678348375
570,102565.0,20504.0,48,8.27,15.42,15,21575.0,36,5997.62197533238
516,42042.0,48950.0,24,5.14,34.4,9,99524.0,40,299.6542045982403
322,45931.0,32286.0,36,14.96,47.58,14,9336.0,58,3723.787592936143
723,141717.0,16116.0,48,3.46,17.68,5,42933.0,36,6823.179621048148
673,43411.0,16435.0,36,3.15,24.19,14,4581.0,39,6761.903547323556
773,143867.0,40262.0,12,3.33,21.85,19,70400.0,38,1967.4545183351884
333,135886.0,6089.0,12,2.71,47.64,32,13894.0,30,8941.087346943466
804,27491.0,49857.0,36,11.96,29.0,21,1313.0,33,61.649945012857714
567,102711.0,13894.0,24,14.66,39.99,12,89234.0,52,7300.508699080747
804,73002.0,44882.0,36,9.33,42.69,33,44247.0,34,1044.0774813850817
489,73276.0,24614.0,36,11.31,18.97,13,82597.0,48,5187.11173974884
321,125373.0,37581.0,36,6.37,37.29,12,87640.0,30,2645.64879536343
555,140030.0,17763.0,24,14.57,16.65,25,5409.0,57,6532.612350321122
301,47345.0,38537.0,60,9.23,43.26,22,52127.0,57,2481.8356203585627
453,80504.0,21920.0,12,8.33,32.09,29,99976.0,19,5737.457852350187
406,49402.0,29089.0,12,14.01,19.26,15,39643.0,21,4330.842714899623
451,145341.0,38893.0,24,10.62,10.52,18,33688.0,51,2323.1990250962394
307,132718.0,30227.0,36,11.31,25.84,3,33760.0,21,4143.64448225768
719,59443.0,30000.0,36,13.69,23.65,0,8071.0,35,4043.52868185625
352,70948.0,45461.0,36,5.08,28.07,31,5972.0,18,1086.553536825101
540,64623.0,42650.0,60,6.22,21.76,11,47657.0,37,1561.456666171126
522,42890.0,42487.0,36,7.9,12.85,16,98185.0,66,1576.9735428647743
820,20060.0,11471.0,60,10.89,39.52,5,19665.0,27,7740.408358830185
691,65186.0,37779.0,60,5.95,49.54,7,32888.0,50,2489.9802274631124
805,76979.0,29837.0,48,14.5,40.66,15,7910.0,57,4066.4626634388565
438,33350.0,6177.0,24,3.77,49.7,20,45890.0,44,8910.189152727175
341,57380.0,17576.0,60,3.55,43.94,26,64471.0,48,6642.463545854198
338,134846.0,33228.0,48,13.8,38.75,22,21360.0,26,3520.3434449316323
514,39816.0,42991.0,60,10.71,25.69,16,57225.0,66,1497.0967749761473
824,27314.0,43908.0,48,5.52,35.26,22,59635.0,18,1231.2493107216687
812,142000.0,42685.0,60,12.95,34.07,30,2850.0,27,1483.9561480558305
477,116214.0,47676.0,24,2.74,46.28,6,30782.0,64,585.7797346426539
757,29847.0,25074.0,36,10.95,15.94,24,48367.0,45,5022.756871419747
477,38309.0,7591.0,36,12.84,19.5,7,32624.0,54,8571.001269788369
320,143489.0,5302.0,48,11.61,47.06,28,60356.0,66,9088.537862201732
625,94137.0,8384.0,24,12.16,47.68,25,91228.0,37,8388.804890383235
466,107272.0,44851.0,60,6.41,26.62,31,18256.0,39,1174.4179984671878
706,134618.0,44338.0,36,7.47,44.02,0,31663.0,65,1191.8409819214955
552,144988.0,18395.0,48,2.52,29.93,33,97037.0,68,6374.626444812008
815,78762.0,44256.0,12,7.12,43.15,19,49111.0,42,1174.9351563717842
509,142907.0,25354.0,60,8.47,17.97,16,28205.0,33,5025.796436939642
530,121757.0,11588.0,48,13.56,42.1,16,11767.0,18,7809.632828117355
414,145991.0,8292.0,24,11.78,15.29,16,93650.0,38,8471.983210185404
532,105708.0,6013.0,48,7.02,41.28,21,35757.0,21,8906.913305730617
495,29516.0,46779.0,36,4.62,27.59,4,52066.0,45,757.9887812717285
448,137440.0,46732.0,24,9.1,43.22,30,555.0,25,789.3951926337912
459,87957.0,36010.0,48,10.95,43.88,1,59557.0,29,2961.114496076864
728,43499.0,19721.0,24,3.95,25.26,28,27937.0,69,6075.052669955526
519,60600.0,47891.0,48,8.79,17.85,15,89367.0,46,511.23293414658025
444,33025.0,34921.0,24,12.98,36.77,11,94945.0,36,3146.3217901941057
630,67924.0,47823.0,36,4.94,32.96,19,35790.0,24,514.2247334810368
